Zeile, id, Bild, Info, Bewertung1, Bewertung2, Bewertung3, Timestamp
216,q2sp4s4dmt7f522ogndlvqkua472j2o8,LimetteAlt.png,"Auf Chefkoch.de gibt es mehr als 1000 einfache Rezepte mit Limette.",33,100,0,1520723476
216,q2sp4s4dmt7f522ogndlvqkua472j2o8,KarotteNeu.png,"Auf Chefkoch.de gibt es mehr als 6500 einfache Rezepte mit Karotte.",100,100,0,1520723517
216,q2sp4s4dmt7f522ogndlvqkua472j2o8,BananeNeu.png,,100,100,0,1520723527
216,q2sp4s4dmt7f522ogndlvqkua472j2o8,ApfelAlt.png,"66% der bisherigen Teilnehmer würden diesen Apfel noch essen oder verwerten.",73,100,0,1520723597
391,a8mfqnvnvn0l8nouuvkglnd4kb8vb3du,KarotteAlt.png,"66% der bisherigen Teilnehmer würden diese Karotte noch essen oder verwerten.",0,75,100,1520730704
391,a8mfqnvnvn0l8nouuvkglnd4kb8vb3du,ApfelNeu.png,"Auf Chefkoch.de gibt es mehr als 4000 einfache Rezepte mit Apfel.",100,0,0,1520730741
391,a8mfqnvnvn0l8nouuvkglnd4kb8vb3du,TraubenNeu.png,"73% der bisherigen Teilnehmer würden diese Trauben noch essen oder verwerten.",73,0,28,1520730781
391,a8mfqnvnvn0l8nouuvkglnd4kb8vb3du,FruehlingszwiebelNeu.png,"Auf Chefkoch.de gibt es mehr als 4500 einfache Rezepte mit Lauchzwiebel.",0,100,0,1520730796
391,a8mfqnvnvn0l8nouuvkglnd4kb8vb3du,BirneAlt.png,,19,0,100,1520730832
391,a8mfqnvnvn0l8nouuvkglnd4kb8vb3du,BananeNeu.png,"Diese Banane hat circa 95,5 Liter Wasser während der Produktion, des Transports und der Lagerung verbraucht bzw. verschmutzt. ",80,66,0,1520730846
391,a8mfqnvnvn0l8nouuvkglnd4kb8vb3du,BirneNeu.png,,90,0,0,1520730858
391,a8mfqnvnvn0l8nouuvkglnd4kb8vb3du,PaprikaAlt.png,"Diese Paprika hat circa 54 Liter Wasser während der Produktion, des Transports und der Lagerung verbraucht bzw. verschmutzt. ",72,91,0,1520730876
391,a8mfqnvnvn0l8nouuvkglnd4kb8vb3du,LimetteNeu.png,,75,89,14,1520730885
391,a8mfqnvnvn0l8nouuvkglnd4kb8vb3du,PaprikaNeu.png,"Für 1 kg Paprika, d.h. ca. 6 Paprika, werden 0,64 kg oder 323 Liter CO2 verbraucht. Ein Mensch erzeugt beim Atmen die gleiche Menge an CO2 in ungefähr 14 Stunden. ",96,99,0,1520730900
391,a8mfqnvnvn0l8nouuvkglnd4kb8vb3du,BananeAlt.png,"Für 1 kg Bananen, d.h. ca. 9 Bananen, werden 0,57 kg oder 288 Liter CO2 verbraucht. Ein Mensch erzeugt beim Atmen die gleiche Menge an CO2 in ungefähr 13 Stunden. ",10,100,0,1520730914
